,songs,artists,lyrics,length
1449,Midnight Train to Georgia,Gladys Knight & the Pips,"mm, l.a proved much man (too much man, make it) he's leavin' life he's come know, ooh (he said he's goin') said he's goin' back find (goin' back find) ooh, ooh, ooh, what's left world world left behind long ago he's leavin' (leavin') midnight train georgia (leavin' midnight train) mm, yes said he's goin' back (goin' back find) simpler place time (whenever take ride) oh, yes, (guess who's gonna right side) i'll (i know will) midnight train georgia (leavin' midnight train georgia) yeah (woo, woo) i'd rather live world (live world) live without mine (her world his, alone) kept dreamin' (dreamin') ooh, someday he'd star (a superstar, get far) sure found hard way dream always come true (dreams always come true) oh, no, uh-uh (uh-uh, no, uh-uh) pawned hope even sold old car bought one-way ticket back life knew oh, yes, did, said would oh, no, he's leavin (leavin') midnight train georgia (leavin' midnight train) hmm, yeah said he's goin' back find (goin' back find) ooh, simpler place time (whenever take ride) oh, yeah (guess who's gonna right side) i'm gonna (i know will) midnight train georgia (leavin' midnight train georgia) oh (woo, woo) i'd rather live world (live world) live without mine (her world his, alone) ooh, he's leavin' (leavin') midnight train georgia (leavin' midnight train) yeah, ooh, y'all said he's goin' back find (goin' back find) ooh, simpler place time (whenever take ride) ooh, y'all, uh-huh (guess who's gonna right side) i've got (i know will) midnight train georgia (leavin' midnight train georgia) yeah (woo, woo) i'd rather live world (live world) live without mine (her world his, alone) oh (for love) love (gonna board) gonna board midnight train ride love (for love) gonna board (gonna board) gotta board midnight train go love (for love) gonna board (gonna board) uh-huh, midnight train go world (for love) world (gonna board) world, mine alone (the midnight train go) world (for love) world (gonna board) world, mine alone (the midnight train go) i've got go (for love) i've got go (gonna board) i've got go, hey (the midnight train go) i've got go (for love) i've got go (gonna board) mm (the midnight train go) world (for love) world (gonna board) man, girl (the midnight train go) i've got go (for love) i've got go (gonna board) oh, i've got go (the midnight train go) world (for love) world (gonna board) world, girl…",3098
1450,Smoke on the Water,Deep Purple,"came montreux lake geneva shoreline make record mobile much time frank zappa mother best place around stupid flare gun burned place ground smoke water fire sky smoke water burned gambling house died awful sound funky claude running pulling kid ground find another place swiss time running seemed would lose race smoke water fire sky smoke water ended grand hotel empty, cold bare rolling-truck-stones-thing outside making music red lights, old bed made place sweat matter what, get know, know we'll never forget smoke water fire sky smoke water",930
1451,The Cover of the Rolling Stone,Dr. Hook & The Medicine Show,"ha, ha, ha, believe da, da, ah, ooh, touch hey, ray! hey, sugar! tell 'em well, we're big rock singer got golden finger we're loved everywhere go (that sound like us) sing beauty sing truth ten thousand dollar show (right!) take kind pill give u kind thrill thrill we've never known thrill get ya get picture cover rolling stone (rolling stone) wanna see picture cover (of stone) wanna buy five copy mother (yeah!) (stone) wanna see smilin' face cover rolling stone (that's very, very, good idea!) got freaky ol' lady name o' cocaine katy embroiders jean got poor old gray-haired daddy drivin' limousine now, designed blow mind mind really blown like blow get ya get picture cover rolling stone (rolling stone) wanna see picture cover (stone) wanna buy five copy mother (yeah) (stone) wanna see smilin' face cover rolling stone (hey, know how, rock roll!!) (ah, that's beautiful) got lot little teenage blue-eyed groupie anything say got genuine indian guru who's teaching u better way got friend money buy never alone keep getting richer can't get picture cover rolling stone (rolling stone) wanna see picture cover (stone) wanna buy five copy mother (i want one!) (stone) wanna see smilin' face cover rolling stone cover rolling stone wanna see picture cover (man, know ain't cover, baby) (we're beautiful fellas) wanna buy five copy mother (i ain't kiddin', why, would make beautiful cover) (fresh shot, right front, man) cover rolling stone (i see now, we'll front) (smilin', man ... ahh, beautiful!)",2080
1452,Behind Closed Doors,Charlie Rich,"baby make proud lord, make proud never make scene hangin' crowd 'cause people like talk lord, love talk turn light know she'll leavin' get behind closed door let hair hang make glad i'm man oh, one know go behind closed door baby make smile lord, make smile never far away tired say ""i want you"" always lady like lady turn light still baby 'cause get behind closed door let hair hang make glad i'm man oh, one know go behind closed door behind closed doors!",783
1453,Your Mama Don't Dance,Loggins and Messina,"mama dance loggins messina mama dance daddy rock roll mama dance daddy rock roll evening come around time hit town go - gotta rock old folk say ya gotta end date ten date bring home late 'cause sin know there's excuse know gonna lose never win i'll say mama dance daddy rock roll mama dance daddy rock roll evenin' roll around time hit town go - rock it, rock everyone gather round let tell see pulled drive-in found place park hopped backseat always nice dark i'm move thinking mmm bret breeze there's light eye guy say car long hair oowee - coming said local police mama dance daddy rock roll mama dance daddy rock roll evenin' roll around time hit town go - play little c.c mama dance daddy rock roll mama dance daddy rock roll ain't cool ain't start mama dance daddy rock mama dance, dance, mama dance daddy rock roll, oww",1614
1454,Feelin' Stronger Every Day,Chicago,"believe know believe oh yeah oh yeah realize love's supposed oh yeah oh yeah knowing would wanted way believe i'm feeling stronger every day know really tried together love inside oh yeah oh yeah time come u live run oh yeah oh yeah knowing would wanted way believe i'm feeling stronger every day meant ooh baby make easily yeah, yeah, yeah know agree best thing happen best thing happened yeah, yeah, yeah love love let's spend night together love jumpin' jack flash, gas, gas, gas feeling stronger every day feeling stronger every day feeling stronger every day (you know i'm alright now) feeling stronger every day (you know i'm alright now) feeling stronger every day (you know i'm alright now) feeling stronger every day (you know i'm alright now) feeling stronger every day (you know i'm alright now) feeling stronger every day (you know i'm alright now) feeling stronger every day (you know i'm alright now) feeling stronger every day (you know i'm alright now) feeling stronger every day",1284
1455,The Cisco Kid,War,"cisco kid friend mine cisco kid friend mine drink whiskey, poncho drink wine drink whiskey, poncho drink wine met fort rio grande met fort rio grande eat salted peanut eat salted peanut outlaw u pinned fort outlaw u pinned fort cisco came blastin', drinkin' port cisco came blastin', drinkin' port rode sunset, horse made steel rode sunset, horse made steel chased gringo last night field chased gringo last night field cisco kid friend mine cisco kid friend mine cisco kid friend mine cisco kid friend mine cisco kid friend mine cisco kid friend mine cisco kid friend mine cisco kid friend mine ooh, ooh, ooh...",940
1456,Live and Let Die,Paul McCartney & Wings,"young heart open book used say, ""live let live"" (you know did, know did, know did) ever-changing world live make give cry say live let die (live let die) live let die (live let die) matter ya? got job got well got give fella hell! used say live let live (you know did, know did, know did) ever-changing world live make give cry say live let die (live let die) live let die (live let die)",657
1457,"Oh, Babe, What Would You Say?",Hurricane Smith,"hope half chance even ask could dance you, you-ooh? would greet politely turn away? would suddenly sunshine cold rainy day? oh, babe, would say? you, sweet lollipop lot say, hey, hey walk along milky way caress nighttime bring flower every day oh, babe, would say? 'cause oh, baby, know know could love know could make love me, could hear say ooh-ooh-ooh-ooh but, anyway, would say? yes, oh, baby, know know could love know could make love me, could hear say ooh-ooh-ooh-ooh but, anyway, would say?",818
1458,I Believe in You (You Believe in Me),Johnnie Taylor,"feel sorry, feel sorry feel sorry, feel sorry feel sorry man can't look around say, woman woman alone feel sorry, yeah woman can't say got somebody call feel sorry, feel sorry feel sorry, feel sorry one thing say people world today see good thing want take away believe you, believe too, yeah even best friend come around making sly remark trying put believe you, believe listen honey, people talking, trying pull u apart sticking pin needle heart love matter care stormy weather heard mother say loving make sense put stood defense believe anytime mother make know believe me, yeah here's another thing hard time almost make always worked never tried fake believe believe here's anything people talking, trying pull u apart always ticking pin needle heart love together care stormy weather believe believe too, yeah believe, that's every time get chance tell you, honey, much love love you, love love you, love all, much trust reason trust you, baby one thing lean you, yeah, baby lean one time i'm gonna say believe honey, please let believe know lot folk wish somebody could believe believe, believe believe anytime mother make know believe believe shown enough know believe",1960
